Material-ID,Chemical_Formula,Temp_critical
S-6424,Ag0.002Al0.998,1.128
S-11031,Ag0.005Zn0.995,0.763
S-9092,Ag0.035Cd0.01Sn0.955,3.65
S-6337,Ag0.03Tl0.97,2.67
S-7863,Ag0.05Rh0.04Ti0.91,1.95
S-6815,Ag0.12In0.88,4.69
S-6033,Ag0.15Bi0.85,5.3
S-12419,Ag0.15Pb0.975Sn0.01,7.25
S-6538,Ag0.167Al0.833,0.88
S-15626,Ag0.16D0.47Pd0.84,15.3
S-629,Ag0.1In0.9Te1,1.2
S-417,Ag0.1Tl0.9,3.57
S-15469,Ag0.2In0.8Te1,0.77
S-16020,Ag0.438Hg0.562,0.64
S-4339,Ag0.45Ge0.55,1.5
S-13957,Ag0.5Al0.5Th2,0.78
S-6867,Ag0.625Al0.375,0.106
S-13265,Ag0.65Al0.35,0.1
S-1964,Ag0.667Al0.333,0.126
S-12638,Ag0.6Al0.4,0.088
S-7478,Ag0.76Sn1.24Se2,6.72
S-1898,Ag0.775Sn0.225,0.09
S-7067,Ag0.795Sn0.205,0.09
S-13710,Ag0.7Al0.3,0.11
S-7997,Ag0.7Mo3Se4,5.96
S-9586,Ag0.7Mo4Se5,5.96
S-11160,Ag0.7Zn0.3,0.0125
S-4327,Ag0.815Sn0.185,0.06
S-4819,Ag0.81In0.19,0.0074
S-14946,Ag0.81Sn1.19Se2,6.42
S-2800,Ag0.825Sn0.175,0.055
S-8192,Ag0.828Ga0.172,0.116
S-3639,Ag0.82Sn0.18,0.066
S-14583,Ag0.835Sn0.165,0.047
S-14245,Ag0.845Sb0.155,0.037
S-6547,Ag0.845Sn0.155,0.025
S-10030,Ag0.85Sn1.15Se2,6.18
S-632,Ag0.865Sb0.135,0.028
S-4054,Ag0.875Ga0.125,0.019
S-14011,Ag0.885Sb0.115,0.019
S-3160,Ag0.8Ga0.2,6.5
S-12793,Ag0.92Sn1.08Se2,5.57
S-9243,Ag0.94Tl0.06,2.32
S-6327,Ag0.95Sn1.05Se2,5.24
S-3157,Ag0.9Ga0.1,0.0065
S-16255,Ag0.9Sn1.1Se1.8S0.2,6.79
S-14849,Ag1.2Mo4.8S6,8.9
S-9212,Ag1B2,6.7
S-1995,Ag1Bi1,2.78
S-8039,Ag1Bi2,3
S-6904,Ag1In2,2.35
S-2570,Ag1La1,1.07
S-10043,Ag1Mo4S5,7.88
S-10158,Ag1Mo6S8,7.7
S-13377,Ag1Nb3,8.28
S-7303,Ag1Sn1Se1.8S0.2,5.79
S-7964,Ag1Sn1Se2,4.66
S-4192,Ag1Te3,2.6
S-1680,Ag1Th2,2.22
S-5175,Ag1Tl1,2.67
S-10481,Ag2F1,0.066
S-12756,Ag2I1,0.066
S-10714,Ag2In1,2.11
S-11080,Ag2Pb3S1,1.13
S-10205,Ag2Pd3S1,1.69
S-13297,Ag3.3Al1,0.34
S-12806,Ag4Ge1,0.85
S-3797,Ag5Pb2O6,0.05
S-300,Ag7F4O8B1,0.15
S-3044,Ag7B4F4O8,0.15
S-3576,Ag7F1O8,0.3
S-1387,Ag7F2H1O8,1.44
S-1854,Ag7N0.75O10.25F0.25,0.94
S-7506,Ag7O11N1,1.04
S-1269,Al0.005V0.995,4.82
S-9528,Al0.01Au0.92In0.07,0.0278
S-8156,Al0.01Nb0.97O0.02,8.3
S-8586,Al0.01V0.99,4.49
S-3685,Al0.029Ti0.971,0.65
S-2647,Al0.02Au0.92Ga0.06,0.158
S-8718,Al0.02Au0.92In0.06,0.034
S-1689,Al0.02V0.98,4.05
S-5929,Al0.03Au0.92In0.05,0.045
S-11764,Al0.03Ti0.81V0.16,5.1
S-4874,Al0.046In0.151Sn0.803,4.38
S-3017,Al0.04Au0.92Ga0.04,0.101
S-1813,Al0.04Au0.92In0.04,0.0555
S-8983,Al0.04Nb0.895O0.06,7.1
